1  0.0136472,0.0059395,0.00469443,0.0174968
2  0.0136472,0.0059395,0.00469443,0.0174968
3  0.0135276,0.00600909,0.00473729,0.0175372
4  0.0136321,0.00588238,0.00468057,0.0174688
5  0.0135235,0.00618103,0.00460235,0.0173947
6  0.0136391,0.00624705,0.00449648,0.017425
7  0.0138112,0.00598547,0.00466973,0.0176037
8  0.0137041,0.00583352,0.00485141,0.0178876
9  0.0134054,0.00585748,0.00473056,0.0178358
10  0.0131879,0.00601438,0.00496645,0.0175879
11  0.0134064,0.00629475,0.00510508,0.0174005
12  0.0133633,0.00604759,0.00502537,0.0172776
13  0.0138114,0.00579933,0.00479449,0.0172018
14  0.0136224,0.00579562,0.00480444,0.0171769
15  0.0138904,0.0061628,0.00487483,0.0171561
16  0.0138307,0.006029,0.00479612,0.017295
17  0.0140332,0.00556999,0.00476654,0.0179232
18  0.0141195,0.00531028,0.00475622,0.0176063
19  0.0138689,0.00541284,0.00496352,0.0176585
20  0.0140248,0.00508058,0.00488038,0.0178403
21  0.0141685,0.00536398,0.00518784,0.0174891
22  0.0143268,0.00513709,0.00480904,0.0174426
23  0.0144422,0.00476968,0.0049879,0.0172863
24  0.0143709,0.00444281,0.00507843,0.0171859
25  0.0142675,0.00445109,0.00506873,0.0174359
26  0.0146625,0.00452122,0.00465478,0.0176321
27  0.0148089,0.00494277,0.00524611,0.0178274
28  0.0146527,0.00462241,0.005435,0.0178829
29  0.014569,0.00454395,0.0050876,0.0180483
30  0.0145029,0.00486654,0.00539427,0.0183636
31  0.0151561,0.00516696,0.00517994,0.018317
32  0.0147724,0.00486104,0.00518127,0.0179549
33  0.0144382,0.00469781,0.00481803,0.0179168
34  0.0144625,0.00479252,0.0047322,0.0180671
35  0.0141932,0.00457555,0.00479521,0.0175748
36  0.0139592,0.00471852,0.00508897,0.0173681
37  0.0139293,0.005289,0.00489693,0.0177334
38  0.0141613,0.00491508,0.00496659,0.0174963
39  0.0144624,0.00478931,0.00506399,0.0173636
40  0.0144345,0.00483993,0.00516758,0.0171682
41  0.0145237,0.00495035,0.00501268,0.0172478
42  0.014632,0.0049366,0.00515861,0.0172997
43  0.0144627,0.00445356,0.00531327,0.0174355
44  0.0142703,0.00453065,0.00514167,0.01768
45  0.0143907,0.00439683,0.00521569,0.0175997
46  0.0144501,0.00478509,0.0053236,0.0175937
47  0.0144854,0.00478744,0.00500695,0.0179443
48  0.0145976,0.00503513,0.00511829,0.0179984
49  0.0143587,0.00511168,0.00521059,0.0183567
50  0.014372,0.00519489,0.00517775,0.0186085
51  0.0146312,0.00539622,0.00548122,0.0180076
52  0.0142854,0.00532261,0.00562557,0.0181033
53  0.0144666,0.00526402,0.00532306,0.0182519
54  0.0145814,0.00499373,0.00527818,0.0181125
55  0.0145966,0.00512295,0.00492436,0.0179465
56  0.014862,0.00501103,0.0053932,0.0180127
57  0.014581,0.00509196,0.00520981,0.0180689
58  0.0139958,0.00495764,0.0049756,0.0183708
59  0.0140535,0.00508454,0.00534762,0.0180358
60  0.0142455,0.00512294,0.00518495,0.0180736
61  0.0143297,0.00513406,0.00534191,0.018457
62  0.0142898,0.00523874,0.00552752,0.0184638
63  0.0145693,0.00477871,0.00516699,0.0183088
64  0.0144839,0.00443284,0.00493276,0.0185327
65  0.0143244,0.00453441,0.0052354,0.0184701
66  0.0142603,0.00481325,0.00523976,0.018182
67  0.0140896,0.00500898,0.00529541,0.0182146
68  0.0139151,0.00508066,0.00495434,0.0185387
69  0.0140476,0.00519097,0.00508813,0.0188244
70  0.0137633,0.00503728,0.00545945,0.0184535
71  0.0138275,0.00486313,0.00549292,0.0181974
72  0.0140583,0.00447961,0.00538797,0.0182388
73  0.0139055,0.00514589,0.00521435,0.0184547
74  0.0135438,0.00513356,0.00538746,0.018116
75  0.0137268,0.00506866,0.00577212,0.0182429
76  0.0136655,0.00493535,0.00577704,0.0183387
77  0.0137547,0.00508594,0.00534471,0.018282
78  0.0138196,0.00525605,0.00545745,0.0182559
79  0.0135822,0.00522962,0.00550437,0.0182916
80  0.0135822,0.00522962,0.00550437,0.0182916
81  0.0135822,0.00522962,0.00550437,0.0182916
82  0.0135822,0.00522962,0.00550437,0.0182916
83  0.0135822,0.00522962,0.00550437,0.0182916
84  0.0135822,0.00522962,0.00550437,0.0182916
85  0.0135822,0.00522962,0.00550437,0.0182916
86  0.0135822,0.00522962,0.00550437,0.0182916
87  0.0135822,0.00522962,0.00550437,0.0182916
88  0.0135822,0.00522962,0.00550437,0.0182916
89  0.0135822,0.00522962,0.00550437,0.0182916
90  0.0135822,0.00522962,0.00550437,0.0182916
91  0.0135822,0.00522962,0.00550437,0.0182916
92  0.0135822,0.00522962,0.00550437,0.0182916
93  0.0135822,0.00522962,0.00550437,0.0182916
94  0.0135822,0.00522962,0.00550437,0.0182916
95  0.0135822,0.00522962,0.00550437,0.0182916
96  0.0135822,0.00522962,0.00550437,0.0182916
97  0.0135822,0.00522962,0.00550437,0.0182916
98  0.0135822,0.00522962,0.00550437,0.0182916
99  0.0135822,0.00522962,0.00550437,0.0182916
100  0.0135326,0.00538023,0.00523475,0.0181226
101  0.0136617,0.00531225,0.0053389,0.0183108
102  0.0138145,0.00537591,0.005216,0.0183378
103  0.0136204,0.0052646,0.00505864,0.0183105
104  0.0134493,0.00532962,0.00519926,0.0185267
105  0.0133359,0.00539756,0.00541383,0.0182542
106  0.0130471,0.00569946,0.00540708,0.0182725
107  0.0131698,0.00555302,0.00539735,0.0184407
108  0.0137555,0.00554561,0.00546668,0.0184326
109  0.0136846,0.00550262,0.00541676,0.0182777
110  0.0137062,0.00533186,0.00543809,0.0184079
111  0.0135704,0.00535184,0.00534592,0.0182638
112  0.0136131,0.00530648,0.00520031,0.0182869
113  0.0137269,0.00535074,0.00512296,0.0182657
114  0.0138822,0.00551205,0.00509193,0.0183858
115  0.0139741,0.00535658,0.00504977,0.0185727
116  0.0140152,0.00545145,0.00527661,0.018625
117  0.0138915,0.00550129,0.00522654,0.0184457
118  0.0137741,0.00543425,0.00515498,0.0183307
119  0.013902,0.00517021,0.00535778,0.0182327
120  0.0139058,0.00548535,0.00534716,0.018309
121  0.0138227,0.00544837,0.00506019,0.0184467
122  0.0139267,0.00537269,0.00514641,0.0183337
123  0.0138952,0.00540362,0.00518999,0.0183825
124  0.0137603,0.00541321,0.00532898,0.0183614
125  0.0139726,0.00544651,0.00531752,0.0182567
126  0.0139076,0.00548284,0.00531202,0.0183369
127  0.0140544,0.00538218,0.0052842,0.0182045
128  0.0140098,0.00561784,0.00551284,0.0181688
129  0.0138677,0.00534684,0.0055198,0.018198
130  0.0137512,0.00537341,0.00525165,0.0184803
131  0.0136969,0.00546317,0.00533588,0.0183516
132  0.0135236,0.0055289,0.00542895,0.018257
